id&$,|author_id&$,|server_id&$,|text&$,|upvotes&$,|created_at&$,|updated_at
968226188751413248&$,|574364010636378132&$,|490367152054992913&$,|For testing purposes certain variables need to be set differently&$,|&$,|2022-04-27 17:48:03&$,|2022-04-27 17:48:03
968226312965722173&$,|574364010636378132&$,|490367152054992913&$,|In testnet I need a variable set to a short time but in mainnet it is set longer.&$,|&$,|2022-04-27 17:47:49&$,|2022-04-27 17:47:49
968226374684909608&$,|574364010636378132&$,|490367152054992913&$,|Basically my testing shouldn't have to wait as long&$,|&$,|2022-04-27 17:47:46&$,|2022-04-27 17:47:46
968226611059122188&$,|574364010636378132&$,|490367152054992913&$,|I thought about using different compile flags in rust but then that's an extra step.&$,|&$,|2022-04-27 17:47:37&$,|2022-04-27 17:47:37
968230416949596170&$,|820988465541939265&$,|490367152054992913&$,|Hey Everyone!

I created a Testnet Faucet for NEAR Developers. 

You can request 200 NEAR testnet tokens every 3 days. Please try it out share with others and let me know what you think 
https://jelilat.github.io/near-faucet/&$,|&$,|2022-04-27 17:47:31&$,|2022-04-27 17:47:31
968233638779060324&$,|348927586354855939&$,|490367152054992913&$,|awesome project looking forward to see how you implemented I'm making https://near-faucet.io/ as part of my ncd submission here is my wip  https://github.com/flmel/near-testnet-faucet have you shared your contract in github ?&$,|&$,|2022-04-27 17:47:28&$,|2022-04-27 17:47:28
968233914554540032&$,|348927586354855939&$,|490367152054992913&$,|we can learn from our projects !&$,|&$,|2022-04-27 17:47:25&$,|2022-04-27 17:47:25
968237352747167836&$,|820988465541939265&$,|490367152054992913&$,|Thanks. I didn't write any contract. I used the Near API.

The project is also public on Github&$,|&$,|2022-04-27 17:47:21&$,|2022-04-27 17:47:21
968237645597638697&$,|348927586354855939&$,|490367152054992913&$,|sweet! since i have to comply with ncd submission criteria i have to have certain thingies did you imply the time rate limiter just so you dont spam the rpc/network or you have other concerns ?&$,|&$,|2022-04-27 17:47:19&$,|2022-04-27 17:47:19
968241447822327818&$,|348927586354855939&$,|490367152054992913&$,|this approach that you took was my initial idea but at the time i was like "all testnet accoutns are actually subacounts of  testnet contract/address" so it has to call itself inorder to send initialBalance to 200  so i called it quits on how to actually create the dev account but in those 10 lines of code 37-47 i learn alot now thanks for sharing! so it gives 200 to any account that match the naming ?&$,|&$,|2022-04-27 17:47:13&$,|2022-04-27 17:47:13
968938563813138532&$,|209125162493280256&$,|967824448365412462&$,|HI&$,|&$,|2022-04-27 14:15:55&$,|2022-04-27 14:15:55
968938594075029544&$,|209125162493280256&$,|967824448365412462&$,|HI2&$,|&$,|2022-04-27 14:16:02&$,|2022-04-27 14:16:02
968942129265147916&$,|209125162493280256&$,|967824448365412462&$,|HI&$,|&$,|2022-04-27 14:30:05&$,|2022-04-27 14:30:05
968951759458402355&$,|209125162493280256&$,|967824448365412462&$,|hi&$,|&$,|2022-04-27 15:08:21&$,|2022-04-27 15:08:21
968951899992764427&$,|209125162493280256&$,|967824448365412462&$,|apple&$,|&$,|2022-04-27 15:08:55&$,|2022-04-27 15:08:55
968952079999705149&$,|209125162493280256&$,|967824448365412462&$,|test2&$,|&$,|2022-04-27 15:09:38&$,|2022-04-27 15:09:38
968953084367757362&$,|209125162493280256&$,|967824448365412462&$,|test3&$,|&$,|2022-04-27 15:13:37&$,|2022-04-27 15:13:37
968953340253851658&$,|209125162493280256&$,|967824448365412462&$,|te&$,|&$,|2022-04-27 15:14:38&$,|2022-04-27 15:14:38
968953382939267092&$,|209125162493280256&$,|967824448365412462&$,|te&$,|&$,|2022-04-27 15:14:48&$,|2022-04-27 15:14:48
968953488702844999&$,|209125162493280256&$,|967824448365412462&$,|et&$,|&$,|2022-04-27 15:15:17&$,|2022-04-27 15:15:17
968953889086910474&$,|209125162493280256&$,|967824448365412462&$,|random&$,|&$,|2022-04-27 15:16:50&$,|2022-04-27 15:16:50
968954040744550480&$,|209125162493280256&$,|967824448365412462&$,|rnadom2&$,|&$,|2022-04-27 15:17:25&$,|2022-04-27 15:17:25
968954136710250597&$,|209125162493280256&$,|967824448365412462&$,|rand&$,|&$,|2022-04-27 15:17:48&$,|2022-04-27 15:17:48
968954361113899059&$,|209125162493280256&$,|967824448365412462&$,|dnar&$,|&$,|2022-04-27 15:18:42&$,|2022-04-27 15:18:42
968965912533270558&$,|209125162493280256&$,|967824448365412462&$,|Messgee&$,|&$,|2022-04-27 16:04:36&$,|2022-04-27 16:04:36
968973786017828904&$,|209125162493280256&$,|967824448365412462&$,|hi&$,|&$,|2022-04-27 16:35:53&$,|2022-04-27 16:35:53
